0:0:0:0:0:0:0:1 - - [02/May/2022:23:31:57 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:31:57 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:57:50 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:57:50 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:00 +0300] "GET /Expense_Management/html/add.html HTTP/1.1" 200 5352
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:00 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:02 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:02 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:38 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3700
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:38 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:38 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:39 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:39 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:39 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:53 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3701
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:53 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:53 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:54 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:54 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [02/May/2022:23:58:54 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
