127.0.0.1 - - [26/Apr/2022:00:32:47 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:36:19 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:06 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:06 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 200 15946
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:06 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:07 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:09 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:09 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:09 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:12 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:12 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:15 +0300] "POST /Expense_Management/router/api/report HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:19 +0300] "POST /Expense_Management/router/api/report HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:26 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:26 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:26 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:29 +0300] "POST /Expense_Management/router/api/delete HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:29 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:37:29 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 1449
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:38:08 +0300] "GET /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:38:09 +0300] "GET /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:16 +0300] "GET /Expense_Management/html/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:16 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 200 15833
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:16 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:16 +0300] "POST /Expense_Management/router/api/items HTTP/1.1" 200 1449
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:18 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:18 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:31 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3816
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:31 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:31 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
